init_delta_t,init_sigma_position_memory,weight_memory_decay,spatial_dist_coeff,layout,steps,error
2.0,0.5,0.8,4.0,L0,9.2,1.38
2.0,0.5,0.8,4.0,L50,8.88,1.48
2.0,0.5,0.8,4.0,L100,7.76,0.76
2.0,0.5,0.8,4.5,L0,9.36,2.58
2.0,0.5,0.8,4.5,L50,11.2,1.26
2.0,0.5,0.8,4.5,L100,9.92,1.02
2.0,0.5,0.8500000000000001,4.0,L0,11.36,1.52
2.0,0.5,0.8500000000000001,4.0,L50,8.08,1.5
2.0,0.5,0.8500000000000001,4.0,L100,8.0,1.2
2.0,0.5,0.8500000000000001,4.5,L0,9.84,2.12
2.0,0.5,0.8500000000000001,4.5,L50,9.48,1.66
2.0,0.5,0.8500000000000001,4.5,L100,7.44,1.04
2.0,1.0,0.8,4.0,L0,10.24,1.48
2.0,1.0,0.8,4.0,L50,9.28,1.14
2.0,1.0,0.8,4.0,L100,8.64,0.62
2.0,1.0,0.8,4.5,L0,9.6,1.58
2.0,1.0,0.8,4.5,L50,9.12,1.56
2.0,1.0,0.8,4.5,L100,8.08,1.24
2.0,1.0,0.8500000000000001,4.0,L0,9.44,2.14
2.0,1.0,0.8500000000000001,4.0,L50,9.28,1.22
2.0,1.0,0.8500000000000001,4.0,L100,8.4,1.08
2.0,1.0,0.8500000000000001,4.5,L0,9.68,1.94
2.0,1.0,0.8500000000000001,4.5,L50,10.08,1.16
2.0,1.0,0.8500000000000001,4.5,L100,8.88,1.08
2.5,0.5,0.8,4.0,L0,9.76,1.48
2.5,0.5,0.8,4.0,L50,7.92,1.78
2.5,0.5,0.8,4.0,L100,8.0,0.8
2.5,0.5,0.8,4.5,L0,8.64,1.92
2.5,0.5,0.8,4.5,L50,12.28,1.38
2.5,0.5,0.8,4.5,L100,9.12,1.08
2.5,0.5,0.8500000000000001,4.0,L0,9.12,1.78
2.5,0.5,0.8500000000000001,4.0,L50,8.4,1.24
2.5,0.5,0.8500000000000001,4.0,L100,9.28,1.06
2.5,0.5,0.8500000000000001,4.5,L0,8.4,1.96
2.5,0.5,0.8500000000000001,4.5,L50,8.88,1.22
2.5,0.5,0.8500000000000001,4.5,L100,11.6,1.16
2.5,1.0,0.8,4.0,L0,9.36,1.78
2.5,1.0,0.8,4.0,L50,9.12,1.22
2.5,1.0,0.8,4.0,L100,8.88,1.0
2.5,1.0,0.8,4.5,L0,9.04,1.5
2.5,1.0,0.8,4.5,L50,8.96,1.28
2.5,1.0,0.8,4.5,L100,8.88,0.84
2.5,1.0,0.8500000000000001,4.0,L0,9.44,1.7
2.5,1.0,0.8500000000000001,4.0,L50,8.96,1.58
2.5,1.0,0.8500000000000001,4.0,L100,8.64,0.78
2.5,1.0,0.8500000000000001,4.5,L0,8.48,2.76
2.5,1.0,0.8500000000000001,4.5,L50,8.8,1.34
2.5,1.0,0.8500000000000001,4.5,L100,8.4,1.4
