Participant,attention_allocation,walking_speed_ratio,reading_speed_ratio
1,0.16667,0.571428571,0.858212379
1,0.16101,0.54166667,0.884313726
1,0.19091,0.584269663,1
2,0.16667,0.571428571,0.858212379
2,0.16101,0.54166667,0.884313726
2,0.19091,0.584269663,1
3,0.16667,0.571428571,0.858212379
3,0.16101,0.54166667,0.884313726
3,0.19091,0.584269663,1
4,0.16667,0.571428571,0.858212379
4,0.16101,0.54166667,0.884313726
4,0.19091,0.584269663,1
5,0.16667,0.571428571,0.858212379
5,0.16101,0.54166667,0.884313726
5,0.19091,0.584269663,1
6,0.16667,0.571428571,0.858212379
6,0.16101,0.54166667,0.884313726
6,0.19091,0.584269663,1
7,0.16667,0.571428571,0.858212379
7,0.16101,0.54166667,0.884313726
7,0.19091,0.584269663,1
8,0.16667,0.571428571,0.858212379
8,0.16101,0.54166667,0.884313726
8,0.19091,0.584269663,1
9,0.16667,0.571428571,0.858212379
9,0.16101,0.54166667,0.884313726
9,0.19091,0.584269663,1
10,0.16667,0.571428571,0.858212379
10,0.16101,0.54166667,0.884313726
10,0.19091,0.584269663,1
11,0.16667,0.571428571,0.858212379
11,0.16101,0.54166667,0.884313726
11,0.19091,0.584269663,1
12,0.16667,0.571428571,0.858212379
12,0.16101,0.54166667,0.884313726
12,0.19091,0.584269663,1
