Participant,L100
1,2.189781002
1,4.545454545
1,1.257861635
2,2.189781002
2,4.545454545
2,1.257861635
3,2.189781002
3,4.545454545
3,1.257861635
4,2.189781002
4,4.545454545
4,1.257861635
5,2.189781002
5,4.545454545
5,1.257861635
6,2.189781002
6,4.545454545
6,1.257861635
7,2.189781002
7,4.545454545
7,1.257861635
8,2.189781002
8,4.545454545
8,1.257861635
9,2.189781002
9,4.545454545
9,1.257861635
10,2.189781002
10,4.545454545
10,1.257861635
11,2.189781002
11,4.545454545
11,1.257861635
12,2.189781002
12,4.545454545
12,1.257861635
